  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 260    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 261    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 262    3    0   50.00  50.00     2      4    4      0      3     2    66.67
 263    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 264    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 265    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 266    4    0   33.33  40.00     2      6    5      2      4     3    75.00
 267    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 268    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 269    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 270    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 271    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 272    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 273    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 274    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 275    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 276    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 277    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 278    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 279    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 280    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 281    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 282    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 283    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 284    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 285    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 286    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 287    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 288    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 289    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 290    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 291    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 292    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 293    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 294    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 295    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 296    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 297    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 298    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 299    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 300    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 301    3    0   75.00  75.00     3      4    4      0      3     2    66.67
 302    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 303    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 304    3    0   80.00  80.00     4      5    5      1      3     3   100.00
 305    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 306    3    0   80.00  80.00     4      5    5      1      3     3   100.00
 307    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 308    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 309    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 310    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 311    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 312    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 313    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 314    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 315    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 316    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 317    3    0   75.00  75.00     3      4    4      0      3     3   100.00
 318    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 319    3    0   60.00  75.00     3      5    4      1      3     2    66.67
 320    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 321    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 322    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 323    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 324    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 325    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 326    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 327    3    0   80.00  80.00     4      5    5      1      3     3   100.00
 328    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 329    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 330    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 331    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 332    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 333    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 334    5    0   85.71  85.71     6      7    7      1      5     5   100.00
 335    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 336    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 337    6    0   87.50  87.50     7      8    8      1      6     6   100.00
 338    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 339    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 340    3    0  100.00 100.00     4      4    4      0      3     2    66.67
 341    5    0   85.71  85.71     6      7    7      1      5     5   100.00
 342    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 343    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 344    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 345    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 346    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 347    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 348    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 349    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 350    3    0   40.00  50.00     2      5    4      1      3     1    33.33
 351    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 352    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 353    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 354    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 355    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 356    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 357    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 358    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 359    4    0   60.00  60.00     3      5    5      1      4     3    75.00
 360    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 361    3    0   40.00  50.00     2      5    4      0      3     1    33.33
 362    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 363    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 364    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 365    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 366    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 367    6    0  100.00 100.00     7      7    7      0      6     6   100.00
 368    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 369    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 370    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 371    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 372    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 373    5    0   85.71  85.71     6      7    7      1      5     5   100.00
 374    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 375    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 376    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 377    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 378    6    0   87.50  87.50     7      8    8      1      6     5    83.33
 379    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 380    2    0  100.00 100.00     3      3    3      0      2     2   100.00
